"participant_ID","d_score","whichPrime","questionnaire"
"iat-2024-11-05-22-07-53",0.95450941386846,"video1",1.3
"iat-2024-11-05-22-11-06",0.722402993222782,"video2",1.9
"iat-2024-11-05-22-20-54",0.60664185704586,"video2",2.6
"iat-2024-11-05-22-23-33",0.779468552443084,"video1",2.8
"iat-2024-11-05-22-25-13",0.369031470396425,"video1",2.5
"iat-2024-11-05-22-28-22",0.597208770102334,"video1",2.7
"iat-2024-11-05-22-30-30",0.416664902777394,"video1",2.2
"iat-2024-11-06-21-00-02",0.947343190965505,"video2",2.5
"iat-2024-11-06-22-07-16",1.20835377094263,"video2",3.3
"iat-2024-11-08-01-18-12",1.05657459198211,"video2",2.2
"iat-2024-11-11-23-46-21",1.00143205722442,"video1",2.3
"iat-2024-11-12-00-19-48",1.11246185477943,"video2",2.4
